regionid	data
1	39.6
2	40.3
10	39.6
10174	40.3
10176	46.5
10231	36.54710221
10233	52.8
10243	30.1
10251	36.74615385
10645	19.3
10650	22.4
10658	32.4
10672	26.9
10687	32.6
10693	28.1
10699	28.5
10705	23
10712	19.5
10772	26.4
10776	25.1
10795	28.2
10802	22.2
10819	32.9
10832	31.9
10841	34.1
10842	30
10853	29.9
10857	35.2
10897	36.3
10904	26.9
10926	25.5
10933	29.8
10939	34.5
10946	49.1
10950	35.2
10995	35
11004	43.9
11010	29.9
11012	54.1
11013	61.4
11015	57.6
11020	36.74615385
11021	38.2
11024	36.74615385
11029	42.7
11069	47
11070	32.2
11077	29.2
11079	34.5
11084	38
11095	47.1
11108	37.7
11111	60
11117	30
11119	60.7
11131	39.1
11146	36.3
11148	40
11153	38.6
11156	32
11158	31.6
11162	42.4
11176	43.9
11193	44.3
11225	43.9
11232	38
11235	33.8
11266	39.3
11282	34.6
11309	38.4
11316	40.6
11318	40
11330	45.6
11340	41.2
11353	36.7
11375	32.1
11398	36.74615385
11403	26.6
11409	43
11443	38.4
11450	35.8
11457	38.3
21949	37.4
